"keys","en","ru"
"PLAY","PLAY","ИГРАТЬ"
"SETUP","SETUP","НАСТРОЙКИ"
"INFO","INFO","ИНФО"
"QUIT","QUIT","ВЫХОД"
"THANKS","Thanks!","Спасибо!"
"ABOUT","[b]Oniomania[/b]
for PGD Game Jam #14

[b]by:[/b] G-Shadow & Sollner

[b]SFX:[/b] from FreeSound.org

[b]Music:[/b] TODO","[b]Ониомания[/b]
для PGD Game Jam #14

[b]Авторы:[/b] G-Shadow & Sollner

[b]Звуки:[/b] с FreeSound.org

[b]Муызка:[/b] TODO"
"REALSTORY","Based on real events","Основано на реальных событиях"
"WIN","WIN!","ПОБЕДА!"
"LOOSE","LOOSE :(","НЕУДАЧА :("
"LEVEL_N","Level ","Уровень "
"DELIVERY","Online Shop","Покупки Онлайн"
"WIN1","Wassup bro?","Как жизнь, бро?"
"WIN2","Great, dude!","Отлично, чувак!"
"WIN3","Did you deal with the trash?","Справился с мусором?"
"WIN4","I thought I would drown in boxes, but in the end my wife got tired of online shopping. I'm looking forward to her new hobbies :)","Думал, утону в коробках, но в конце концов онлайн-шоппинг жене приелся. Жду её новых хобби :)"
"LOOSE1","Wassup bro?","Как жизнь, бро?"
"LOOSE2","I need your help! I can’t get home!","Мне нужна твоя помощь! Не могу попасть домой!"
"LOOSE3","What happened?","Что случилось?!"
"LOOSE4","I can’t get home anymore. There are empty boxes everywhere! May I drop at yours for a week?","Мне больше не войти в дом, там одни пустые коробки! Можно пожить у тебя недельку?"
"START1","Wassup bro?","Как жизнь, бро?"
"START2","Don't even ask, I'm drowning in garbage!","Даже не спрашивай, утопаю в мусоре!"
"START3","What happened?","Что случилось?!"
"START4","My wife discovered online shopping. Now all my home is full of empty packages!","Жена открыла для себя онлайн-шоппинг. Скоро будет негде жить из-за пустых коробок!"
